imię i nazwisko,narodowość,flaga,pozycja,data urodzenia,Wiek,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,SUMA
Abel Salami,Nigeria,https://flagcdn.com/w40/ng.png,napastnik,15.12.1979,46,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,18
Mieczysław Sikora,Polska,https://flagcdn.com/w40/pl.png,napastnik,06.02.1982,43,,,,,,,,,16.0,,,,,9.0,,,,,,,,,,,,,,,,,,25
Andriej Szyło,Białoruś,https://flagcdn.com/w40/by.png,pomocnik,11.07.1976,49,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,15
Seweryn Wojciechowski,Polska,https://flagcdn.com/w40/pl.png,pomocnik,25.05.1980,45,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1
Paweł Woźniak,Polska,https://flagcdn.com/w40/pl.png,pomocnik,11.10.1978,47,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,13
Rafał Andraszak,Polska,https://flagcdn.com/w40/pl.png,pomocnik,05.02.1978,47,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,19
Daniel Dubicki,Polska,https://flagcdn.com/w40/pl.png,pomocnik,25.05.1975,50,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,20
François Endene,Kamerun /Meksyk,https://flagcdn.com/w40/cm.png,napastnik,20.10.1978,47,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,16
Tomasz Fornalik,Polska,https://flagcdn.com/w40/pl.png,obrońca,03.06.1973,52,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2
Tomasz Górkiewicz,Polska,https://flagcdn.com/w40/pl.png,obrońca,28.01.1985,40,,,,,,,,,,3.0,24.0,31.0,20.0,1.0,9.0,12.0,11.0,12.0,30.0,34.0,,,,,,,,,,,,187
Hubert Jaromin,Polska,https://flagcdn.com/w40/pl.png,pomocnik,04.03.1979,46,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,13
