Mecz,kolejka,sezon,data meczu,data sortowanie,miejsce rozgrywania,TSP,rywal,wynik,strzelcy,rozgrywki,frekwencja
971,2,2024/25,"niedziela, 28 lipca 2024",07-28),Grodzisk Mazowiecki,Podbeskidzie Bielsko-Biała,Pogoń Grodzisk Mazowiecki,1-3,Paweł Tomczyk 45,II liga,975
972,3,2024/25,"sobota, 3 sierpnia 2024",08-03),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Polonia Bytom,0-1,,II liga,2 389
973,runda wstępna,2024/25,"wtorek, 6 sierpnia 2024",08-06),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stomil Olsztyn,2-0,"Kacper Gach 23, Piotr Jakubowski 90 (s)",Puchar Polski,1 564
974,4,2024/25,"sobota, 10 sierpnia 2024",08-10),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,1-1,Linus Rönnberg 36,II liga,1 537
975,5,2024/25,"niedziela, 18 sierpnia 2024",08-18),Szczecin,Podbeskidzie Bielsko-Biała,Świt Szczecin,3-3,"Kornel Osyra 11, Jędrzej Góral 51 (s), Lucjan Klisiewicz 67",II liga,476
976,6,2024/25,"piątek, 23 sierpnia 2024",08-23),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Skra Częstochowa ,3-0,"Linus Rönnberg 27, Lucjan Klisiewicz 67, Hubert Sadowski 76 (s)",II liga,1 737
977,7,2024/25,"sobota, 31 sierpnia 2024",08-31),Puławy,Podbeskidzie Bielsko-Biała,Wisła Puławy,1-2,Marcin Biernat 36,II liga,564
978,8,2024/25,"niedziela, 8 września 2024",09-08),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wieczysta Kraków,1-0,Linus Rönnberg 22,II liga,3 104
979,9,2024/25,"niedziela, 15 września 2024",09-15),Chojnice,Podbeskidzie Bielsko-Biała,Chojniczanka Chojnice,1-2,Paweł Czajkowski 56,II liga,782
980,10,2024/25,"niedziela, 22 września 2024",09-22),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,0-0,,II liga,3 142
981,I runda,2024/25,"czwartek, 26 września 2024",09-26),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,0-0 pd. k. 3-4,,Puchar Polski,1 052
982,11,2024/25,"niedziela, 29 września 2024",09-29),Grudziądz,Podbeskidzie Bielsko-Biała,Olimpia Grudziądz,1-2,Lionel Abate 70,II liga,415
983,12,2024/25,"poniedziałek, 7 października 2024",10-07),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Rekord Bielsko-Biała,0-3,,II liga,5 535
984,13,2024/25,"niedziela, 13 października 2024",10-13),Rzeszów,Podbeskidzie Bielsko-Biała,Resovia,3-2,"Marcin Biernat 55, Bartosz Florek 63, Mateusz Kizyma 88",II liga,516
985,14,2024/25,"sobota, 19 października 2024",10-19),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie II Lubin,2-1,"Lionel Abate 13, Linus Rönnberg 34",II liga,806
986,15,2024/25,"poniedziałek, 28 października 2024",10-28),Łódź,Podbeskidzie Bielsko-Biała,ŁKS II Łódź,2-0,"Lionel Abate 66, Marcin Biernat 82",II liga,154
987,16,2024/25,"poniedziałek, 4 listopada 2024",11-04),Bielsko-Biała,Podbeskidzie Bielsko-Biała,KKS 1925 Kalisz,0-1,,II liga,1 193
988,17,2024/25,"sobota, 9 listopada 2024",11-09),Kraków,Podbeskidzie Bielsko-Biała,Hutnik Kraków,2-0,"Lucjan Klisiewicz 52, Kacper Gach 71",II liga,819
989,18,2024/25,"sobota, 16 listopada 2024",11-16),Elbląg,Podbeskidzie Bielsko-Biała,Olimpia Elbląg,1-1,Bartosz Florek 35,II liga,512
990,19,2024/25,"niedziela, 24 listopada 2024",11-24),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Grodzisk Mazowiecki,0-2,,II liga,1 153
991,20,2024/25,"piątek, 28 lutego 2025",02-28),Bytom,Podbeskidzie Bielsko-Biała,Polonia Bytom,0-1,,II liga,1 175
992,21,2024/25,"sobota, 8 marca 2025",03-08),Jastrzębie,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,0-0,,II liga,1 312
993,22,2024/25,"sobota, 15 marca 2025",03-15),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Świt Szczecin,2-1,"Lucjan Klisiewicz 53, 90",II liga,1 511
994,23,2024/25,"piątek, 21 marca 2025",03-21),Częstochowa,Podbeskidzie Bielsko-Biała,Skra Częstochowa ,0-1,,II liga,bez udziału publiczności
995,24,2024/25,"sobota, 29 marca 2025",03-29),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Puławy,2-1,"Marcin Urynowicz 12, Linus Rönnberg 84",II liga,1 569
996,25,2024/25,"sobota, 5 kwietnia 2025",04-05),Kraków,Podbeskidzie Bielsko-Biała,Wieczysta Kraków,3-2,"Lucjan Klisiewicz 52, Marcin Biernat 87, Maciej Górski 89",II liga,840
997,26,2024/25,"piątek, 11 kwietnia 2025",04-11),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chojniczanka Chojnice,1-1,Linus Rönnberg 77,II liga,1 379
998,27,2024/25,"sobota, 19 kwietnia 2025",04-19),Sosnowiec,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,0-0,,II liga,6 256
999,28,2024/25,"sobota, 26 kwietnia 2025",04-26),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Olimpia Grudziądz,2-1,"Wojciech Szumilas 30, 85",II liga,1 718
1000,29,2024/25,"niedziela, 4 maja 2025",05-04),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Rekord Bielsko-Biała,2-0,"Matej Mršić 4, Marcin Biernat 16",II liga,4 181
1001,30,2024/25,"sobota, 10 maja 2025",05-10),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Resovia,1-1,Bartosz Florek 79,II liga,1 538
1002,31,2024/25,"sobota, 17 maja 2025",05-17),Lubin,Podbeskidzie Bielsko-Biała,Zagłębie II Lubin,4-1,"Bartosz Florek 18, Marcin Biernat 58, 90, Alexander Abrahamsson 81 (s)",II liga,248
1003,32,2024/25,"piątek, 23 maja 2025",05-23),Bielsko-Biała,Podbeskidzie Bielsko-Biała,ŁKS II Łódź,3-0,"Lucjan Klisiewicz 17, 24, Jan Majsterek 38",II liga,1 714
1004,33,2024/25,"niedziela, 1 czerwca 2025",06-01),Kalisz,Podbeskidzie Bielsko-Biała,KKS 1925 Kalisz,0-1,,II liga,937
1005,34,2024/25,"sobota, 7 czerwca 2025",06-07),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Hutnik Kraków,2-0,"Bartosz Florek 82, Maciej Górski 90",II liga,2 858
1006,1,2025/26,"piątek, 25 lipca 2025",07-25),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,1-3,Maksymilian Sitek 82,II liga,2 503
1007,2,2025/26,"piątek, 1 sierpnia 2025",08-01),Stalowa Wola,Podbeskidzie Bielsko-Biała,Stal Stalowa Wola,2-5,"Maciej Górski 60, Lucjan Klisiewicz 81",II liga,2 600
1008,runda wstępna,2025/26,"wtorek, 5 sierpnia 2025",08-05),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Resovia,2-1,"Dalibor Takáč 56, Marcin Biernat 90",Puchar Polski,1 204
1009,3,2025/26,"piątek, 8 sierpnia 2025",08-08),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Śląsk II Wrocław,0-0,,II liga,1 650
1010,4,2025/26,"piątek, 15 sierpnia 2025",08-15),Chojnice,Podbeskidzie Bielsko-Biała,Chojniczanka Chojnice,1-0,Wojciech Szumilas 68,II liga,825
1011,5,2025/26,"sobota, 23 sierpnia 2025",08-23),Bielsko-Biała,Podbeskidzie Bielsko-Biała,ŁKS II Łódź,1-0,Jan Majsterek 87,II liga,1 574
1012,6,2025/26,"sobota, 30 sierpnia 2025",08-30),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Hutnik Kraków,3-3,"Oskar Zawada 11, Wojciech Szumilas 35, Patryk Kieliś 49 (s)",II liga,1 908
1014,8,2025/26,"niedziela, 14 września 2025",09-14),Kalisz,Podbeskidzie Bielsko-Biała,KKS 1925 Kalisz,1-0,Wojciech Szumilas 36,II liga,492
1013,7,2025/26,"środa, 17 września 2025",09-17),Grudziądz,Podbeskidzie Bielsko-Biała,Olimpia Grudziądz,1-2,Marcin Biernat 90 (k),II liga,455
1015,9,2025/26,"sobota, 20 września 2025",09-20),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Unia Skierniewice,3-0,"Maciej Górski 41, Bartosz Martosz 44, Oskar Zawada 90",II liga,1 445
,I runda,2025/26,"środa, 24 września 2025",09-24),Wikielec,Podbeskidzie Bielsko-Biała,GKS Wikielec,1-2,Paweł Depka 83 (s),Puchar Polski,700
1016,10,2025/26,"niedziela, 28 września 2025",09-28),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Rekord Bielsko-Biała,2-3,Maciej Górski 12. Maksymilian Sitek 69,II liga,5 500
1017,11,2025/26,"sobota, 4 października 2025",10-04),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Warta Poznań,2-3,"Mateusz Kizyma 47, Maciej Górski 59",II liga,1 358
1019,13,2025/26,"niedziela, 19 października 2025",10-19),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Świt Szczecin,1-0,Marcin Biernat 90 (k),II liga,1 464
1018,12,2025/26,"środa, 22 października 2025",10-22),Sosnowiec,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,0-2,,II liga,3 086
1020,14,2025/26,"sobota, 25 października 2025",10-25),Jastrzębie,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,2-2,"Kacper Gach 24, Lucjan Klisiewicz 70",II liga,645
1021,15,2025/26,"piątek, 31 października 2025",10-31),Kleczew,Podbeskidzie Bielsko-Biała,Sokół Kleczew,2-5,"Bartosz Martosz 23, Lucjan Klisiewicz 88",II liga,198
1022,16,2025/26,"niedziela, 9 listopada 2025",11-09),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Resovia,3-0,"Lucjan Klisiewicz 2, 90, Marcin Biernat 50 (k)",II liga,1 806
1023,17,2025/26,"sobota, 15 listopada 2025",11-15),Nowy Targ,Podbeskidzie Bielsko-Biała,Podhale Nowy Targ,0-2,,II liga,777
1024,18,2025/26,"sobota, 22 listopada 2025",11-22),Nowy Sącz,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,0-0,,II liga,8 007
1025,19,2025/26,"sobota, 29 listopada 2025",11-29),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stal Stalowa Wola,3-1,"Marcin Biernat 32 (k), Marcin Urynowicz 71, Krzysztof Kolanko 74",II liga,908
1026,20,2025/26,"sobota, 21 lutego 2026",02-21),Wrocław,Podbeskidzie Bielsko-Biała,Śląsk II Wrocław,,,II liga,
1027,21,2025/26,"sobota, 28 lutego 2026",02-28),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chojniczanka Chojnice,,,II liga,
1028,22,2025/26,"sobota, 7 marca 2026",03-07),Łódź,Podbeskidzie Bielsko-Biała,ŁKS II Łódź,,,II liga,
1029,23,2025/26,"sobota, 14 marca 2026",03-14),Kraków,Podbeskidzie Bielsko-Biała,Hutnik Kraków,,,II liga,
1030,24,2025/26,"sobota, 21 marca 2026",03-21),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Olimpia Grudziądz,,,II liga,
1031,25,2025/26,"sobota, 28 marca 2026",03-28),Bielsko-Biała,Podbeskidzie Bielsko-Biała,KKS 1925 Kalisz,,,II liga,
1032,26,2025/26,"sobota, 4 kwietnia 2026",04-04),Skierniewice,Podbeskidzie Bielsko-Biała,Unia Skierniewice,,,II liga,
1033,27,2025/26,"sobota, 11 kwietnia 2026",04-11),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Rekord Bielsko-Biała,,,II liga,
1034,28,2025/26,"sobota, 18 kwietnia 2026",04-18),Poznań,Podbeskidzie Bielsko-Biała,Warta Poznań,,,II liga,
1035,29,2025/26,"sobota, 25 kwietnia 2026",04-25),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,,,II liga,
1036,30,2025/26,"sobota, 2 maja 2026",05-02),Szczecin,Podbeskidzie Bielsko-Biała,Świt Szczecin,,,II liga,
1037,31,2025/26,"sobota, 9 maja 2026",05-09),Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,,,II liga,
1038,32,2025/26,"sobota, 16 maja 2026",05-16),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Sokół Kleczew,,,II liga,
1039,33,2025/26,"sobota, 23 maja 2026",05-23),Rzeszów,Podbeskidzie Bielsko-Biała,Resovia,,,II liga,
1040,34,2025/26,"sobota, 30 maja 2026",05-30),Bielsko-Biała,Podbeskidzie Bielsko-Biała,Podhale Nowy Targ,,,II liga,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
,,,,12-30),,,,,,,
